issue,experiment_slug,variant,seed,metric,value,params,date
97,002-momentum-collapse-boundary,full_m0.999,2,effective_rank,2.4375,"{""momentum"":0.999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,2,embedding_std,0.4399,"{""momentum"":0.999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,2,effective_rank,3.9098,"{""momentum"":0.999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,2,embedding_std,0.2917,"{""momentum"":0.999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,effective_rank,1.6177,"{""momentum"":0.9999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,embedding_std,0.3009,"{""momentum"":0.9999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,effective_rank,1.4743,"{""momentum"":0.9999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,embedding_std,0.3687,"{""momentum"":0.9999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,effective_rank,1.4108,"{""momentum"":0.9999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,embedding_std,0.3699,"{""momentum"":0.9999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,effective_rank,1.9988,"{""momentum"":0.9999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,0,embedding_std,0.3035,"{""momentum"":0.9999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,effective_rank,1.6685,"{""momentum"":0.9999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,embedding_std,0.2883,"{""momentum"":0.9999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,effective_rank,1.5028,"{""momentum"":0.9999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,embedding_std,0.3316,"{""momentum"":0.9999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,effective_rank,1.3891,"{""momentum"":0.9999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,embedding_std,0.2909,"{""momentum"":0.9999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,effective_rank,1.9390,"{""momentum"":0.9999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,1,embedding_std,0.4570,"{""momentum"":0.9999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,2,effective_rank,1.6193,"{""momentum"":0.9999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,2,embedding_std,0.1788,"{""momentum"":0.9999,""steps"":300}",2026-08-14
